'a 啊
'bie'xia'cai 别瞎猜
'bie'xia'gao 别瞎搞
'bie'xia'shuo 别瞎说
'bie'xia'shuo'ca 别瞎说擦
'bie'xia'xie 别瞎写
'bie'xia'zhou'yi 别下周一
'bie'xiang 别想
'bie'xie 别写
'bie'xie'le 别写了
'bie'yi'hui 别一会
'bie'yong 别用
'bie'yong'fu'wu'qi 别用服务器
'bie'zai 别再
'bie'zhe 憋着
'bie'zhe'me 别这么
'bie'zhe'teng 别折腾
'bie'zhe'tong'yi'ge'yue 憋着同一个月
'bie'zhi'wang 别指望
'bie'zhou'yi 别周一
'bie'zui'hou 别最后
'bie'zuo 别做
'bie'zuo'chu'lai 别做出来
'bie'zuo'cuo 别做错
'bin 斌
'bin'guan 宾馆
'bin'guan'bu'fang'bian 宾馆不方便
'bin'guan'tai'zhou 宾馆台州
'bin'guan'zhen'dui 宾馆针对
'bin'ke'yi 斌可以
'bin'yao 斌要
'bing 并
'bing'an 病案
'bing'an'hao 病案号
'bing'an'hao'dui'ying 病案号对应
'bing'an'hao'he 病案号和
'bing'an'hao'shi 病案号是
'bing'an'ti'jiao 病案提交
'bing'an'zhao 并按照
'bing'ba 并把
'bing'ba'guang'pan 并把光盘
'bing'biao'shi 并表示
'bing'bu'neng 并不能
'bing'bu'shi 并不是
'bing'bu'shi'mei'tian 并不是每天
'bing'bu'shi'pai'ge 并不是拍个
'bing'bu'shi'yi'ge 并不是一个
'bing'bu'xu'yao 并不需要
'bing'can'jia 并参加
'bing'cheng 病程
'bing'cheng'qu'de 病程取得
'bing'dao'da 并到达
'bing'dao'ru 并导入
'bing'deng 并等
'bing'diao'yan 并调研
'bing'du 病毒
'bing'du'le 病毒了
'bing'dui 并对
'bing'fa 并发
'bing'fa'dao 并发到
'bing'fa'de 并发的
'bing'fa'gei 并发给
'bing'fa'zhe'ge 并发这个
'bing'fang 病房
'bing'fang'chan 并房颤
'bing'fang'de 病房的
'bing'fang'na'li 病房那里
'bing'fu'fei 并付费
'bing'fu'zhu 并辅助
'bing'gei 并给
'bing'gei'chu 并给出
'bing'gou 并购
'bing'gou'gong'si 并购公司
'bing'guan'bi 并关闭
'bing'ji'ling 冰激凌
'bing'ji'ling'le 冰激凌了
'bing'jian'guan 并监管
'bing'jin'xing 并进行
'bing'kai'shi 并开始
'bing'ke'yi 并可以
'bing'kuai 冰块
'bing'kuai'bu'shi 冰块不是
'bing'le 病了
'bing'le'hou 病了后
'bing'le'jiu 病了就
'bing'li 病历
'bing'li 病理
'bing'li'ba 病历吧
'bing'li'bao'cuo 病历报错
'bing'li'bao'gao 病历报告
'bing'li'bao'gao 病理报告
'bing'li'bi'wo 病历比我
'bing'li'bian'ji'qi 病历编辑器
'bing'li'bing 病历并
'bing'li'bing'cheng 病历病程
'bing'li'chan'pin 病历产品
'bing'li'de 病历的
'bing'li'deng 病历等
'bing'li'fen'xing 病历分型
'bing'li'gui'dang 病历归档
'bing'li'gui'dang'mei 病历归档没
'bing'li'he 病历和
'bing'li'hu'shi 病历护士
'bing'li'huan'zhe 病历患者
'bing'li'kai'fa 病历开发
'bing'li'kuang'jia 病历框架
'bing'li'le 病历了
'bing'li'lei'si 病历类似
'bing'li'ma 病历吗
'bing'li'mei'wen'ti 病历没问题
'bing'li'nan'dao 病历难道
'bing'li'nei'rong 病历内容
'bing'li'ni 病历你
'bing'li'niu'pai 病历牛排
'bing'li'ping'shi 病历平时
'bing'li'shang'chuan 病历上传
'bing'li'shang'chuan'an'niu 病历上传按钮
'bing'li'shi 病历时
'bing'li'ti'jiao 病历提交
'bing'li'ti'wen 病历体温
'bing'li'wo 病历我
'bing'li'xin'zeng 病历新增
'bing'li'yi 病历已
'bing'li'yi'sheng'zhan 病历医生站
'bing'li'yi'xie 病历一些
'bing'li'ying'gai 病历应该
'bing'li'you'di'fang 病历有地方
'bing'li'zai 病历在
'bing'li'zhai'yao 病历摘要
'bing'li'zhen'duan 病历诊断
'bing'li'zhi'you 病历只有
'bing'li'zhong 病历中
'bing'li'zhuang'tai 病历状态
'bing'mei'you 并没有
'bing'mei'you'kai'fang 并没有开放
'bing'mei'you'zhi'xing 并没有执行
'bing'neng 并能
'bing'neng'gou 并能够
'bing'neng'sui'shi 并能随时
'bing'pai 并排
'bing'qie 并且
'bing'qie'bu 并且不
'bing'qie'bu'lu'ru 并且不录入
'bing'qie'bu'neng 并且不能
'bing'qie'da'yin 并且打印
'bing'qie'ding 并且定
'bing'qie'dou'shi 并且都是
'bing'qie'dui 并且对
'bing'qie'er'qie 并且而且
'bing'qie'fei'chang 并且非常
'bing'qie'jia'ru 并且加入
'bing'qie'jin'xing 并且进行
'bing'qie'jiu 并且就
'bing'qie'kai'tong 并且开通
'bing'qie'ke'yi 并且可以
'bing'qie'lu'ru 并且录入
'bing'qie'ri'chang 并且日常
'bing'qie'shun'li 并且顺利
'bing'qie'suo'yi 并且所以
'bing'qie'ti'gong 并且提供
'bing'qie'wen 并且问
'bing'qie'xia'fei 并且夏飞
'bing'qie'xiang'mu 并且项目
'bing'qie'xin'gao 并且新高
'bing'qie'xiu'gai 并且修改
'bing'qie'xu'yao 并且需要
'bing'qie'xue'tang 并且血糖
'bing'qie'yan'shou 并且验收
'bing'qie'ye 并且也
'bing'qie'yi'wai 并且意外
'bing'qie'ying'yong 并且应用
'bing'qie'you'shi 并且有时
'bing'qie'zai 并且在
'bing'qie'zhen'dui 并且针对
'bing'qie'zhi'neng 并且只能
'bing'qing 病情
'bing'qing'bing'shi 病情病史
'bing'qing'bu'li 病情不利
'bing'qing'cuo'shi 病情措施
'bing'qing'de 病情的
'bing'qing'dou'you 病情都有
'bing'qing'guan'cha 病情观察
'bing'qing'he 病情和
'bing'qing'hu'li 病情护理
'bing'qing'ji'lu 病情记录
'bing'qing'ji'lu'dan 病情记录单
'bing'qing'li 病情里
'bing'qing'lu'ru 病情录入
'bing'qing'tong'ji 病情统计
'bing'qing'xin'xi 病情信息
'bing'qing'ying'gai 病情应该
'bing'qing'you'ke'neng 病情有可能
'bing'qing'yuan'lai 病情原来
'bing'qing'zen'me 病情怎么
'bing'qing'zhai 病情窄
'bing'qing'zhe'me 病情这么
'bing'qing'zhen'duan 病情诊断
'bing'qu 病区
'bing'qu'chan'pin 病区产品
'bing'qu'chan'pin'xian 病区产品线
'bing'qu'chuang'wei 病区床位
'bing'qu'dai'ma 病区代码
'bing'qu'de 病区的
'bing'qu'fang'shi 病区访视
'bing'qu'gao'tang 病区高唐
'bing'qu'guan'li 病区管理
'bing'qu'guan'lian 病区关联
'bing'qu'guo'lv 病区过滤
'bing'qu'hao 病区号
'bing'qu'hao'gao'su'wo 病区号告诉我
'bing'qu'he 病区和
'bing'qu'huan'zhe 病区患者
'bing'qu'ji'lu 病区记录
'bing'qu'jiu'yao 病区就要
'bing'qu'kai'ye 病区开业
'bing'qu'lai 病区来
'bing'qu'li 病区里
'bing'qu'lin'chuang 病区临床
'bing'qu'mei'you 病区没有
'bing'qu'ming'cheng 病区名称
'bing'qu'pei'zhi 病区配置
'bing'qu'shang'xian 病区上线
'bing'qu'shi'yong 病区试用
'bing'qu'shou'ru 病区收入
'bing'qu'suo'you 病区所有
'bing'qu'tong'bu 病区同步
'bing'qu'xi'tong 病区系统
'bing'qu'xu'qiu 病区需求
'bing'qu'yi'tian 病区一天
'bing'qu'yi'you 病区已有
'bing'qu'yong 病区用
'bing'qu'you 病区有
'bing'qu'zai 病区在
'bing'qu'zhao 病区找
'bing'qu'zhong'zheng 病区重症
'bing'qu'zhu'yao 病区主要
'bing'qu'zhuan'ke 病区专科
'bing'que'ding 并确定
'bing'ren 病人
'bing'ren'a 病人啊
'bing'ren'an'niu 病人按钮
'bing'ren'ba 病人吧
'bing'ren'bao'cuo 病人报错
'bing'ren'bao'hu'xing 病人保护性
'bing'ren'biao'ji 病人标记
'bing'ren'biao'shi 病人标识
'bing'ren'bing 病人并
'bing'ren'bing'qing 病人病情
'bing'ren'bing'ren 病人病人
'bing'ren'bu'cun'zai 病人不存在
'bing'ren'bu'dui 病人不对
'bing'ren'bu'hao 病人不好
'bing'ren'bu'hui 病人不会
'bing'ren'bu'neng 病人不能
'bing'ren'bu'ran 病人不然
'bing'ren'ca 病人擦
'bing'ren'ce'shi 病人测试
'bing'ren'cha'bu'chu'lai 病人查不出来
'bing'ren'cha'kan 病人查看
'bing'ren'cha'xia 病人查下
'bing'ren'cha'xun 病人查询
'bing'ren'chao'guo 病人超过
'bing'ren'chong'xin 病人重新
'bing'ren'chu'ke'qian 病人出科前
'bing'ren'chu'qu 病人出去
'bing'ren'chu'ru'liang 病人出入量
'bing'ren'chu'yuan 病人出院
'bing'ren'chuang'hao 病人床号
'bing'ren'cong 病人从
'bing'ren'da'dao 病人达到
'bing'ren'dai'guo 病人呆过
'bing'ren'dan'zi 病人单子
'bing'ren'de 病人的
'bing'ren'deng 病人等
'bing'ren'dian'le 病人点了
'bing'ren'diao'yong 病人调用
'bing'ren'dou 病人都
'bing'ren'dou'hui 病人都会
'bing'ren'dou'mei'you 病人都没有
'bing'ren'dou'shi 病人都是
'bing'ren'dui 病人对
'bing'ren'dui'ma 病人对吗
'bing'ren'dui'ying 病人对应
'bing'ren'duo'le 病人多了
'bing'ren'fa'yi'xia 病人发一下
'bing'ren'fang'jian'li 病人房间里
'bing'ren'fei'chang 病人非常
'bing'ren'fen'pei 病人分配
'bing'ren'fen'zu 病人分组
'bing'ren'gao'ding 病人搞定
'bing'ren'gao'su 病人告诉
'bing'ren'gei'wo 病人给我
'bing'ren'geng'xin 病人更新
'bing'ren'gong'neng 病人功能
'bing'ren'guan'li 病人管理
'bing'ren'guo'qu 病人过去
'bing'ren'hai'shi 病人还是
'bing'ren'hai'zai 病人还在
'bing'ren'hao'le 病人好了
'bing'ren'hao'xiang 病人好像
'bing'ren'he 病人和
'bing'ren'hen'duo 病人很多
'bing'ren'hou 病人后
'bing'ren'hu'li'cuo'shi 病人护理措施
'bing'ren'huan'zhe 病人患者
'bing'ren'hui 病人会
'bing'ren'hui'you 病人会有
'bing'ren'huo'qu 病人获取
'bing'ren'ji'ben 病人基本
'bing'ren'ji'lu 病人记录
'bing'ren'jian'ce 病人监测
'bing'ren'jian'yan 病人检验
'bing'ren'jiao'jie'ban 病人交接班
'bing'ren'jiao'shao 病人较少
'bing'ren'jin'qu 病人进去
'bing'ren'jin'xing 病人进行
'bing'ren'jiu 病人就
'bing'ren'jiu'shi 病人就是
'bing'ren'jiu'xing 病人就行
'bing'ren'ka'pian 病人卡片
'bing'ren'kai'shi 病人开始
'bing'ren'kan'bu'dao 病人看不到
'bing'ren'ke'neng 病人可能
'bing'ren'ke'shi 病人科室
'bing'ren'ke'shi'dai'ma 病人科室代码
'bing'ren'ke'yi 病人可以
'bing'ren'le 病人了
'bing'ren'lei'xing 病人类型
'bing'ren'li 病人里
'bing'ren'li'mian 病人里面
'bing'ren'lie'biao 病人列表
'bing'ren'lu'ru 病人录入
'bing'ren'ma 病人吗
'bing'ren'mao'si 病人貌似
'bing'ren'mei 病人没
'bing'ren'mei'ci 病人每次
'bing'ren'mei'ri 病人每日
'bing'ren'mei'you 病人没有
'bing'ren'ming'zi 病人名字
'bing'ren'na'ge 病人那个
'bing'ren'na'wo 病人那我
'bing'ren'ne 病人呢
'bing'ren'neng 病人能
'bing'ren'neng'bu'neng 病人能不能
'bing'ren'ni 病人你
'bing'ren'nian'ling 病人年龄
'bing'ren'pei 病人配
'bing'ren'ping'gu 病人评估
'bing'ren'qi'dong 病人启动
'bing'ren'qi'ta 病人其他
'bing'ren'qing'kuang 病人情况
'bing'ren'qu 病人取
'bing'ren'qu'bu'dao 病人娶不到
'bing'ren'ru 病人入
'bing'ren'ru'guo 病人如果
'bing'ren'ru'ke 病人入科
'bing'ren'ru'yuan 病人入院
'bing'ren'shai'xuan 病人筛选
'bing'ren'shen'shang 病人身上
'bing'ren'shi 病人是
'bing'ren'shi 病人时
'bing'ren'shi'bu'shi 病人是不是
'bing'ren'shi'fou 病人是否
'bing'ren'shi'jian 病人时间
'bing'ren'shi'shi 病人试试
'bing'ren'shi'yi'xia 病人试一下
'bing'ren'shu'ju 病人数据
'bing'ren'shu'liang 病人数量
'bing'ren'shuai'xuan 病人帅选
'bing'ren'shuo 病人说
'bing'ren'suo'yin 病人索引
'bing'ren'suo'you 病人所有
'bing'ren'ti'qu 病人提取
'bing'ren'ti'wen'dan 病人体温单
'bing'ren'ti'xing 病人提醒
'bing'ren'ti'zheng 病人体征
'bing'ren'ting'ji 病人挺急
'bing'ren'tong'bu 病人同步
'bing'ren'tong'bu'dao 病人同步到
'bing'ren'tong'bu'wan 病人同步完
'bing'ren'tong'ji 病人统计
'bing'ren'wan'quan 病人完全
'bing'ren'wan'zheng 病人完整
'bing'ren'wei'shen'me 病人为什么
'bing'ren'wen'jian 病人文件
'bing'ren'wo 病人我
'bing'ren'xiang'guan 病人相关
'bing'ren'xin'ru 病人新入
'bing'ren'xin'xi 病人信息
'bing'ren'xing'ming 病人姓名
'bing'ren'xiu'gai 病人修改
'bing'ren'xiu'zheng 病人修正
'bing'ren'xu'yao 病人需要
'bing'ren'xue'pei'yang 病人血培养
'bing'ren'yao 病人要
'bing'ren'ye 病人也
'bing'ren'ye'shi 病人也是
'bing'ren'ye'yao 病人也要
'bing'ren'yi'ge 病人一个
'bing'ren'yi'hui 病人一会
'bing'ren'yi'kai'shi 病人一开始
'bing'ren'yong 病人用
'bing'ren'yong'dao 病人用到
'bing'ren'you 病人有
'bing'ren'you'bian 病人右边
'bing'ren'you'jian 病人右键
'bing'ren'you'le 病人有了
'bing'ren'you'mei'you 病人有没有
'bing'ren'you'wen'ti 病人有问题
'bing'ren'yu'ju 病人语句
'bing'ren'yuan'lai 病人原来
'bing'ren'zai 病人在
'bing'ren'zhan'kai 病人展开
'bing'ren'zhao'bu'dao 病人找不到
'bing'ren'zhe'ge 病人这个
'bing'ren'zhe'yang 病人这样
'bing'ren'zhen'duan 病人诊断
'bing'ren'zheng'ti 病人整体
'bing'ren'zhi'jie 病人直接
'bing'ren'zhi'xing'biao 病人执行表
'bing'ren'zhong 病人中
'bing'ren'zhu'yuan'hao 病人住院号
'bing'ren'zhuan'chu 病人转出
'bing'ren'zhuan'guo'chuang 病人转过床
'bing'ren'zhuan'ke 病人转科
'bing'ren'zhuan'ru 病人转入
'bing'ren'zi'dong 病人自动
'bing'ren'zong'shu 病人总数
'bing'ren'zui'da 病人最大
'bing'shi 病室
'bing'shi 病史
'bing'shi'bao 病史报
'bing'shi'chao'shi 病史超时
'bing'shi'de 病室的
'bing'shi'de 病史的
'bing'shi'dian'ping 病史点评
'bing'shi'fan'hui 病史返回
'bing'shi'he 病史和
'bing'shi'ke'yi 病史可以
'bing'shi'ma 病史吗
'bing'shi'mei'you 病史没有
'bing'shi'na'ju 病史那句
'bing'shi'na'yao'me 病史那要么
'bing'shi'ru'yuan 病史入院
'bing'shi'shi 病史是
'bing'shi'ye 病史也
'bing'shi'yong 并使用
'bing'shi'you 病史有
'bing'shi'zhu'shi 病史注释
'bing'ti'gong 并提供
'bing'tong'guo 并通过
'bing'tui'dong 并推动
'bing'wei 病危
'bing'wei'bing'ren 病危病人
'bing'wei'de 病危的
'bing'xiang 冰箱
'bing'xiang'li 冰箱里
'bing'xing'cheng 并形成
'bing'xiu'gai 并修改
'bing'you'hua 并优化
'bing'zai 并在
'bing'zai'pei'zhi 并在配置
'bing'zeng'jia 并增加
'bing'zheng 病症
'bing'zheng'fen'lei 病症分类
'bing'zhi'chi 并支持
'bing'zhong 病种
'bing'zhong 病重
'bing'zhong'bu'shi 病种不是
'bing'zhong'de 病种的
'bing'zhong'qu 病种取
'bing'zhong'ren'shu 病重人数
'bo 博
'bo 拨
'bo'chu'qu 拨出去
'bo'chu'qu'de 拨出去的
'bo'cuo 拨错
'bo'cuo'le 拨错了
'bo'de 博的
'bo'dong 波动
'bo'dong'fei'chang'da 波动非常大
'bo'duo 剥夺
'bo'duo'a'jiao 剥夺阿娇
'bo'fang 播放
'bo'fang'hao'de 播放好的
'bo'ge 波哥
'bo'ge'jue'de 波哥觉得
'bo'ge'xian'zai 波哥现在
'bo'ge'yi'zhi 波哥一直
'bo'ge'zhong'yu 波哥终于
'bo'gei'wo 拨给我
'bo'gei'wo'de 拨给我的
'bo'hui 驳回
'bo'hui'a 驳回啊
'bo'li 剥离
'bo'li 玻璃
'bo'li'chu'lai 剥离出来
'bo'li'duo'xiao 薄利多销
'bo'li'duo'xiao'wo 薄利多销我
'bo'li'le 剥离了
'bo'li'ni 玻璃你
'bo'li'shui 玻璃水
'bo'li'shui'mei'you 玻璃水没有
'bo'ming'tian 博明天
'bo'qi 勃起
'bo'qi'ba 勃起吧
'bo'qi'de 勃起的
'bo'qi'le 勃起了
'bo'qi'ti'wen'dan 勃起体温单
'bo'qi'yi'dian 勃起一点
'bo'ren 博仁
'bo'ren'xin 博仁新
'bo'ren'yi'yuan 博仁医院
'bo'ruo 薄弱
'bo'shi 博士
'bo'shi'bu'hui 博士不会
'bo'shi'liao'tian 博士聊天
'bo'shi'rang 博士让
'bo'shi'yun 博士匀
'bo'ti 博提
'bo'xue 剥削
'bo'xue'de 剥削的
'bo'ya 博雅
'bo'ya'shao'kao 博雅烧烤
'bo'yi'ge 拨一个
'bo'yi'guan 拨一罐
'bo'zhe 波折
'bu 不
'bu 部
'bu 补
'bu 步
'bu'ai'chi 不爱吃
'bu'ai'chi'rou'de 不爱吃肉的
'bu'ai'wo 不爱我
'bu'an 不按
'bu'an'shuo 不按说
'bu'an'tao'lu 不按套路
'bu'an'zhao 不按照
'bu'ba 不把
'bu'ba 补吧
'bu'ba'fa'guang'gao 不把发广告
'bu'bai'yong'hui 不白永辉
'bu'ban 不办
'bu'ban'chu'qu 不搬出去
'bu'ban'you'xian 不办有线
'bu'bao 不报
'bu'bao'cun 不保存
'bu'bao'cun'de 不保存的
'bu'bao'cun'xiu'gai 不保存修改
'bu'bao'cuo 不报错
'bu'bao'cuo'a 不报错啊
'bu'bao'cuo'ba 不报错吧
'bu'bao'cuo'de 不报错的
'bu'bao'cuo'di'er'ci 不报错第二次
'bu'bao'cuo'huo'zhe 不报错或者
'bu'bao'cuo'jiu 不报错就
'bu'bao'cuo'le 不报错了
'bu'bao'cuo'ma 不报错吗
'bu'bao'cuo'ni 不报错你
'bu'bao'cuo'shi 不报错是
'bu'bao'cuo'wo 不报错我
'bu'bao'jiu'yao 不报就要
'bu'bao'kuo 不包括
'bu'bao'kuo'dan'zi 不包括单子
'bu'bao'kuo'hu'shi'zhang 不包括护士长
'bu'bao'kuo'wen'shu 不包括文书
'bu'bao'kuo'yi'dao'su 不包括胰岛素
'bu'bao'kuo'zhe'ge 不包括这个
'bu'bao'liu 不保留
'bu'bao'xi'wang 不报希望
'bu'bei'fen 不备份
'bu'bi 不必
'bu'bi 不比
'bu'bi'ni'men 不比你们
'bu'bi'sai 不比赛
'bu'bi'xiao'gong'si 不比小公司
'bu'bi'za'men 不必咱们
'bu'bian 不变
'bu'bian'ba 不变吧
'bu'bian'de 不变的
'bu'bian'jiu'xing 不变就行
'bu'bian'mei'shi 不变没事
'bu'bian'ni 不变你
'bu'bian'wo 不变我
'bu'bian'xiao 不变小
'bu'bian'yan'se 不变颜色
'bu'bian'zi 不变字
'bu'bo'shi 不博士
'bu'bu 不补
'bu'bu'fen 不不分
'bu'bu'hao 不不好
'bu'bu'le 不补了
'bu'bu'yong 不不用
'bu'bu'zhi'dao 部不知道
'bu'ca 不擦
'bu'cai 不踩
'bu'cai'you'men 不踩油门
'bu'can 不惨
'bu'can'de 不惨的
'bu'can'jia 不参加
'bu'can'jia'xu'bo 不参加徐博
'bu'can'yu 不参与
'bu'can'yu'bi'jia 不参与比价
'bu'can'yu'kai'fa 不参与开发
'bu'cang 不藏
'bu'cang 补仓
'bu'cang'bu 补仓补
'bu'cang'ye 不藏也
'bu'cao'zuo 不操作
'bu'cao'zuo'qi'ta 不操作其他
'bu'cha'kan 不查看
'bu'cha'kan'te'hu'dan 不查看特护单
'bu'cha'qian 不差钱
'bu'cha'qian'wo 不差钱我
'bu'cha'ru 不插入
'bu'cha'ru'le 不插入了
'bu'cha'xia 不查下
'bu'chang 不畅
'bu'chang 不长
'bu'chang'na'ge 不畅那个
'bu'chang'shou'pan 不长收盘
'bu'chang'yong 不常用
'bu'chang'yong'de 不常用的
'bu'chang'yong'wo 不常用我
'bu'chao 不超
'bu'chao 不吵
'bu'chao'hao'le 不吵好了
'bu'chen'gong 不陈宫
'bu'cheng'gong 不成功
'bu'cheng'gong'le 不成功了
'bu'cheng'gong'shi 不成功是
'bu'cheng'gong'yao'me 不成功要么
'bu'cheng'gong'zui'hou 不成功最后
'bu'cheng'ren 不承认
'bu'cheng'ren'hao'xiang 不承认好像
'bu'cheng'ren'le 不承认了
'bu'chi 不吃
'bu'chi'fan 不吃饭
'bu'chi'le 不吃了
'bu'chong 补充
'bu'chong'dian 补充点
'bu'chong'fu 不重复
'bu'chong'fu'a 不重复啊
'bu'chong'ji'lu 补充记录
'bu'chong'ji'lu'de 补充记录的
'bu'chong'shang'lai 补充上来
'bu'chong'tu 不冲突
'bu'chong'tu'wo 不冲突我
'bu'chong'zhi 不重置
'bu'chou 不愁
'bu'chou'qian 不愁钱
'bu'chou'yan 不抽烟
'bu'chu 不出
'bu'chu'fa 不处罚
'bu'chu'fa'dian'ji 不处罚点击
'bu'chu'hai'you 不出还有
'bu'chu'lai 不出来
'bu'chu'lai'a 不出来啊
'bu'chu'lai'de 不出来的
'bu'chu'lai'hao'de 不出来好的
'bu'chu'lai'hao'xiang 不出来好像
'bu'chu'lai'kai'shi 不出来开始
'bu'chu'lai'le 不出来了
'bu'chu'lai'nei'rong 不出来内容
'bu'chu'lai'ta 不出来他
'bu'chu'lai'xian'shi 不出来显示
'bu'chu'lai'you'ji'ge 不出来有几个
'bu'chu'lai'zhao'kui 不出来赵魁
'bu'chu'lai'zhi 不出来值
'bu'chu'lai'zhu'yao 不出来主要
'bu'chu'na'ge 不出那个
'bu'chu'nei'rong 不出内容
'bu'chu'qu 不出去
'bu'chu'qu'le 不出去了
'bu'chu'wen'ti 不出问题
'bu'chu'xian 不出现
'bu'chu'xian'o 不出现哦
'bu'chu'xian'yi'ge 不出现一个
'bu'chu'yi'wai 不出意外
'bu'chu'yuan 不出院
'bu'chu'zui'feng 不出最疯
'bu'chuan 不传
'bu'chuan 补传
'bu'chuan 不穿
'bu'chuan'dao 不传到
'bu'chuan'gei'ni 不传给你
'bu'chuan'han'zi 不传汉字
'bu'chuan'yi'fu 不穿衣服
'bu'ci'zhi 不辞职
'bu'ci'zhi'le 不辞职了
'bu'cong 不从
'bu'cui 不催
'bu'cui'de 不催的
'bu'cun'zai 不存在
'bu'cun'zai'de 不存在的
'bu'cun'zai'gan 不存在干
'bu'cun'zai'wo'men 不存在我们
'bu'cuo 不错
'bu'cuo'a 不错啊
'bu'cuo'ba 不错吧
'bu'cuo'bu'guo 不错不过
'bu'cuo'bu'zhi'dao 不错不知道
'bu'cuo'dan'shi 不错但是
'bu'cuo'de 不错的
'bu'cuo'le 不错了
'bu'cuo'ma 不错嘛
'bu'cuo'zhong'wu 不错中午
'bu'cuo'zhu'yao 不错主要
'bu'da 不大
'bu'da 不打
'bu'da'a 不大啊
'bu'da'an'zhuang 不大安装
'bu'da'ba 不大吧
'bu'da'ba 不打吧
'bu'da'chuang'ye'ban 不大创业板
'bu'da'da'yin 不大打印
'bu'da'de 不大的
'bu'da'die 不大跌
'bu'da'dui 不大对
'bu'da'gai 不大概
'bu'da'gai'cheng 不大改成
'bu'da'gong'si 不大公司
'bu'da'gui'mo 不大规模
'bu'da'hao 不大好
'bu'da'jia'ru 不大假如
'bu'da'jiu'xing 不大就行
'bu'da'le 不大了
'bu'da'mei'shi 不大没事
'bu'da'na'jia 不大哪家
'bu'da'ni 不大你
'bu'da'pei 不搭配
'bu'da'rao 不打扰
'bu'da'ru'guo 不大如果
'bu'da'shi 不大是
'bu'da'suan 不打算
'bu'da'suan'jian'cang 不打算减仓
'bu'da'suan'mai 不打算卖
'bu'da'wo 不大我
'bu'da'xia'mian 不大下面
'bu'da'xin'jia 不大新加
'bu'da'yin 不打印
'bu'da'za'men 不大咱们
'bu'da'zhe'liang'tian 不大这两天
'bu'da'zhe'me 不大这么
'bu'dai 不带
'bu'dai'biao 不代表
'bu'dai'biao'jiu 不代表就
'bu'dai'biao'jiu'yao 不代表就要
'bu'dai'biao'neng 不代表能
'bu'dai'du'shu 不带度数
'bu'dai'ge 不带个
'bu'dai'ge'ji'bai'wan 不带个几百万
'bu'dai'kuan 不贷款
'bu'dai'kuan'bi 不贷款比
'bu'dai'le 不带了
'bu'dai'ni 不带你
'bu'dai'ying 补戴赢
'bu'dan'xin 不担心
'bu'dan'xin'le 不担心了
'bu'dang'le 不当了
'bu'dao 不到
'bu'dao 步到
'bu'dao 补到
'bu'dao'a 不到啊
'bu'dao'biao 不到表
'bu'dao'bing'shi 不到病史
'bu'dao'de 不到的
'bu'dao'guan 不导管
'bu'dao'jiu'shi 不到九十
'bu'dao'le 不到了
'bu'dao'ma 不到吗
'bu'dao'na'ge 不到那个
'bu'dao'ni 不到你
'bu'dao'ni'men 不到你们
'bu'dao'ren 补到人
'bu'dao'ri 不到日
'bu'dao'shi 不到是
'bu'dao'ti'chu 不到提出
'bu'dao'yi'ge'dian 不到一个点
'bu'dao'ying'gai 不到应该
'bu'dao'zhe'ge 不到这个
'bu'dao'zhu'yao 不到主要
'bu'dao'zhuo'mian 不到桌面
'bu'dao'zui'hou 不到最后
'bu'de 部的
'bu'de 补的
'bu'de 补得
'bu'de'bie'de 补得别的
'bu'de'bu'yong 补得不用
'bu'de'kan 补得看
'bu'deng'ta 不等他
'bu'deng'ta'le 不等他了
'bu'di 不低
'bu'di'dao 不地道
'bu'di'dao'cha'dui 不地道插队
'bu'di'dao'de 不地道的
'bu'di'he'wo'ba 不低和我爸
'bu'di'yu 不低于
'bu'dian'ji 不点击
'bu'diao 不掉
'bu'diao'a 不掉啊
'bu'diao'ni 不掉你
'bu'diao'ni 不屌你
'bu'diao'yao 不掉要
'bu'die 不跌
'bu'die'a 不跌啊
'bu'die'de 不跌的
'bu'die'jin 不跌近
'bu'die'ne 不跌呢
'bu'ding 补丁
'bu'ding'ni 补丁你
'bu'ding'piao 不订票
'bu'diu'ren 不丢人
'bu'diu'ren'de 不丢人的
'bu'dong 不懂
'bu'dong 不动
'bu'dong'a 不懂啊
'bu'dong'a 不动啊
'bu'dong'de 不懂的
'bu'dong'de 不懂得
'bu'dong'de'jiu 不懂得就
'bu'dong'hai 不动还
'bu'dong'jiu 不懂就
'bu'dong'le 不懂了
'bu'dong'le 不动了
'bu'dong'shi'a 不懂是啊
'bu'dong'ye'hui 不动也会
'bu'dou'shi 不都是
'bu'du 不读
'bu'du'pei'zhi 不读配置
'bu'du'qian 不赌钱
'bu'du'qian'wo 不赌钱我
'bu'du'qu 不读取
'bu'du'qu'da'yin'ji 不读取打印机
'bu'duan 不断
'bu'duan'da'kai 不断打开
'bu'duan'de 不断的
'bu'duan'si'diao 不断死掉
'bu'duan'tong'bu 不断同步
'bu'duan'zeng'zhang 不断增长
'bu'dui 不对
'bu'dui 部队
'bu'dui'a 不对啊
'bu'dui'ba 不对吧
'bu'dui'bu'cuo 不对不错
'bu'dui'bu'duo 不对不多
'bu'dui'bu'hao 不对不好
'bu'dui'bu'ke'neng 不对不可能
'bu'dui'bu'shi'a 不对不是啊
'bu'dui'bu'zheng'qian 不对不挣钱
'bu'dui'cai'shi 不对才是
'bu'dui'cao'gong 不对曹工
'bu'dui'cong 不对从
'bu'dui'de 部队的
'bu'dui'de 不对的
